Date;cac40_price
02/06/2024;7638.97
02/05/2024;7589.96
02/02/2024;7592.26
02/01/2024;7588.75
01/31/2024;7656.75
01/30/2024;7677.47
01/29/2024;7640.81
01/26/2024;7634.14
01/25/2024;7464.20
01/24/2024;7455.64
01/23/2024;7388.04
01/22/2024;7413.25
01/19/2024;7371.64
01/18/2024;7401.35
01/17/2024;7318.69
01/16/2024;7398.00
01/15/2024;7411.68
01/12/2024;7465.14
01/11/2024;7387.62
01/10/2024;7426.08
01/09/2024;7426.62
01/08/2024;7450.24
01/05/2024;7420.69
01/04/2024;7450.63
01/03/2024;7411.86
01/02/2024;7530.86
12/29/2023;7543.18
12/28/2023;7535.16
12/27/2023;7571.82
12/22/2023;7568.82
12/21/2023;7571.40
12/20/2023;7583.43
12/19/2023;7574.67
12/18/2023;7568.86
12/15/2023;7596.91
12/14/2023;7575.85
12/13/2023;7531.22
12/12/2023;7543.55
12/11/2023;7551.53
12/08/2023;7526.55
12/07/2023;7428.52
12/06/2023;7435.99
12/05/2023;7386.99
12/04/2023;7332.59
12/01/2023;7346.15
11/30/2023;7310.77
11/29/2023;7267.64
11/28/2023;7250.13
11/27/2023;7265.49
11/24/2023;7292.80
11/23/2023;7277.93
11/22/2023;7260.73
11/21/2023;7229.45
11/20/2023;7246.93
11/17/2023;7233.91
11/16/2023;7168.40
11/15/2023;7209.61
11/14/2023;7185.68
11/13/2023;7087.06
11/10/2023;7045.04
11/09/2023;7113.66
11/08/2023;7034.16
11/07/2023;6986.23
11/06/2023;7013.73
11/03/2023;7047.50
11/02/2023;7060.69
11/01/2023;6932.63
10/31/2023;6885.65
10/30/2023;6825.07
10/27/2023;6795.38
10/26/2023;6888.96
10/25/2023;6915.07
10/24/2023;6893.65
10/23/2023;6850.47
10/20/2023;6816.22
10/19/2023;6921.37
10/18/2023;6965.99
10/17/2023;7029.70
10/16/2023;7022.19
10/13/2023;7003.53
10/12/2023;7104.53
10/11/2023;7131.21
10/10/2023;7162.43
10/09/2023;7021.40
10/06/2023;7060.15
10/05/2023;6998.25
10/04/2023;6996.73
10/03/2023;6997.05
10/02/2023;7068.16
09/29/2023;7135.06
09/28/2023;7116.24
09/27/2023;7071.79
09/26/2023;7074.02
09/25/2023;7123.88
09/22/2023;7184.82
09/21/2023;7213.90
09/20/2023;7330.79
09/19/2023;7282.12
09/18/2023;7276.14
09/15/2023;7378.82
09/14/2023;7308.67
09/13/2023;7222.57
09/12/2023;7252.88
09/11/2023;7278.27
09/08/2023;7240.77
09/07/2023;7196.10
09/06/2023;7194.09
09/05/2023;7254.72
09/04/2023;7279.51
09/01/2023;7296.77
08/31/2023;7316.70
08/30/2023;7364.40
08/29/2023;7373.43
08/28/2023;7324.71
08/25/2023;7229.60
08/24/2023;7214.46
08/23/2023;7246.62
08/22/2023;7240.88
08/21/2023;7198.06
08/18/2023;7164.11
08/17/2023;7191.74
08/16/2023;7260.25
08/15/2023;7267.70
08/14/2023;7348.84
08/11/2023;7340.19
08/10/2023;7433.62
08/09/2023;7322.04
08/08/2023;7269.47
08/07/2023;7319.76
08/04/2023;7315.07
08/03/2023;7260.53
08/02/2023;7312.84
08/01/2023;7406.08
07/31/2023;7497.78
07/28/2023;7476.47
07/27/2023;7465.24
07/26/2023;7315.07
07/25/2023;7415.45
07/24/2023;7427.31
07/21/2023;7432.77
07/20/2023;7384.91
07/19/2023;7326.94
07/18/2023;7319.18
07/17/2023;7291.66
07/14/2023;7374.54
07/13/2023;7369.80
07/12/2023;7333.01
07/11/2023;7220.01
07/10/2023;7143.69
07/07/2023;7111.88
07/06/2023;7082.29
07/05/2023;7310.81
07/04/2023;7369.93
07/03/2023;7386.70
06/30/2023;7400.06
06/29/2023;7312.73
06/28/2023;7286.32
06/27/2023;7215.58
06/26/2023;7184.35
06/23/2023;7163.42
06/22/2023;7203.28
06/21/2023;7260.97
06/20/2023;7294.17
06/19/2023;7314.05
06/16/2023;7388.65
06/15/2023;7290.91
06/14/2023;7328.53
06/13/2023;7290.80
06/12/2023;7250.35
06/09/2023;7213.14
06/08/2023;7222.15
06/07/2023;7202.79
06/06/2023;7209.00
06/05/2023;7200.91
06/02/2023;7270.69
06/01/2023;7137.43
05/31/2023;7098.70
05/30/2023;7209.75
05/29/2023;7303.81
05/26/2023;7319.18
05/25/2023;7229.27
05/24/2023;7253.46
05/23/2023;7378.71
05/22/2023;7478.16
05/19/2023;7491.96
05/18/2023;7446.89
05/17/2023;7399.44
05/16/2023;7406.01
05/15/2023;7418.21
05/12/2023;7414.85
05/11/2023;7381.78
05/10/2023;7361.20
05/09/2023;7397.17
05/08/2023;7440.91
05/05/2023;7432.93
05/04/2023;7340.77
05/03/2023;7403.83
05/02/2023;7383.20
04/28/2023;7491.50
04/27/2023;7483.84
04/26/2023;7466.66
04/25/2023;7531.61
04/24/2023;7573.86
04/21/2023;7577.00
04/20/2023;7538.71
04/19/2023;7549.44
04/18/2023;7533.63
04/17/2023;7498.18
04/14/2023;7519.61
04/13/2023;7480.83
04/12/2023;7396.94
04/11/2023;7390.28
04/06/2023;7324.75
04/05/2023;7316.30
04/04/2023;7344.96
04/03/2023;7345.96
03/31/2023;7322.39
03/30/2023;7263.37
03/29/2023;7186.99
03/28/2023;7088.34
03/27/2023;7078.27
03/24/2023;7015.10
03/23/2023;7139.25
03/22/2023;7131.12
03/21/2023;7112.91
03/20/2023;7013.14
03/17/2023;6925.40
03/16/2023;7025.72
03/15/2023;6885.71
03/14/2023;7141.57
03/13/2023;7011.50
03/10/2023;7220.67
03/09/2023;7315.88
03/08/2023;7324.76
03/07/2023;7339.27
03/06/2023;7373.21
03/03/2023;7348.12
03/02/2023;7284.22
03/01/2023;7234.25
02/28/2023;7267.93
02/27/2023;7295.55
02/24/2023;7187.27
02/23/2023;7317.43
02/22/2023;7299.26
02/21/2023;7308.65
02/20/2023;7335.61
02/17/2023;7347.72
02/16/2023;7366.16
02/15/2023;7300.86
02/14/2023;7213.81
02/13/2023;7208.59
02/10/2023;7129.73
02/09/2023;7188.36
02/08/2023;7119.83
02/07/2023;7132.35
02/06/2023;7137.10
02/03/2023;7233.94
02/02/2023;7166.27
02/01/2023;7077.11
01/31/2023;7082.42
01/30/2023;7082.01
01/27/2023;7097.21
01/26/2023;7095.99
01/25/2023;7043.88
01/24/2023;7050.48
01/23/2023;7032.02
01/20/2023;6995.99
01/19/2023;6951.87
01/18/2023;7083.39
01/17/2023;7077.16
01/16/2023;7043.31
01/13/2023;7023.50
01/12/2023;6975.68
01/11/2023;6924.19
01/10/2023;6869.14
01/09/2023;6907.36
01/06/2023;6860.95
01/05/2023;6761.50
01/04/2023;6776.43
01/03/2023;6623.89
01/02/2023;6594.57
12/30/2022;6473.76
12/29/2022;6573.47
12/28/2022;6510.49
12/27/2022;6550.66
12/23/2022;6504.90
12/22/2022;6517.97
12/21/2022;6580.24
12/20/2022;6450.43
12/19/2022;6473.29
12/16/2022;6452.63
12/15/2022;6522.77
12/14/2022;6730.79
12/13/2022;6744.98
12/12/2022;6650.55
12/09/2022;6677.64
12/08/2022;6647.31
12/07/2022;6660.59
12/06/2022;6687.79
12/05/2022;6696.96
12/02/2022;6742.25
12/01/2022;6753.97
11/30/2022;6738.55
11/29/2022;6668.97
11/28/2022;6665.20
11/25/2022;6712.48
11/24/2022;6707.32
11/23/2022;6679.09
11/22/2022;6657.53
11/21/2022;6634.45
11/18/2022;6644.46
11/17/2022;6576.12
11/16/2022;6607.22
11/15/2022;6641.66
11/14/2022;6609.17
11/11/2022;6594.62
11/10/2022;6556.83
11/09/2022;6430.57
11/08/2022;6441.50
11/07/2022;6416.61
11/04/2022;6416.44
11/03/2022;6243.28
11/02/2022;6276.88
11/01/2022;6328.25
10/31/2022;6266.77
10/28/2022;6273.05
10/27/2022;6244.03
10/26/2022;6276.31
10/25/2022;6250.55
10/24/2022;6131.36
10/21/2022;6035.39
10/20/2022;6086.90
10/19/2022;6040.72
10/18/2022;6067.00
10/17/2022;6040.66
10/14/2022;5931.92
10/13/2022;5879.19
10/12/2022;5818.47
10/11/2022;5833.20
10/10/2022;5840.55
10/07/2022;5866.94
10/06/2022;5936.42
10/05/2022;5985.46
10/04/2022;6039.69
10/03/2022;5794.15
09/30/2022;5762.34
09/29/2022;5676.87
09/28/2022;5765.01
09/27/2022;5753.82
09/26/2022;5769.39
09/23/2022;5783.41
09/22/2022;5918.50
09/21/2022;6031.33
09/20/2022;5979.47
09/19/2022;6061.59
09/16/2022;6077.30
09/15/2022;6157.84
09/14/2022;6222.41
09/13/2022;6245.69
09/12/2022;6333.59
09/09/2022;6212.33
09/08/2022;6125.90
09/07/2022;6105.92
09/06/2022;6104.61
09/05/2022;6093.22
09/02/2022;6167.51
09/01/2022;6034.31
08/31/2022;6125.10
08/30/2022;6210.22
08/29/2022;6222.28
08/26/2022;6274.26
08/25/2022;6381.56
08/24/2022;6386.76
08/23/2022;6362.02
08/22/2022;6378.74
08/19/2022;6495.83
08/18/2022;6557.40
08/17/2022;6528.32
08/16/2022;6592.58
08/15/2022;6569.95
08/12/2022;6553.86
08/11/2022;6544.67
08/10/2022;6523.44
08/09/2022;6490.00
08/08/2022;6524.44
08/05/2022;6472.35
08/04/2022;6513.39
08/03/2022;6472.06
08/02/2022;6409.80
08/01/2022;6436.86
07/29/2022;6448.50
07/28/2022;6339.21
07/27/2022;6257.94
07/26/2022;6211.45
07/25/2022;6237.55
07/22/2022;6216.82
07/21/2022;6201.11
07/20/2022;6184.66
07/19/2022;6201.22
07/18/2022;6091.91
07/15/2022;6036.00
07/14/2022;5915.41
07/13/2022;6000.24
07/12/2022;6044.20
07/11/2022;5996.30
07/08/2022;6033.13
07/07/2022;6006.70
07/06/2022;5912.38
07/05/2022;5794.96
07/04/2022;5954.65
07/01/2022;5931.06
06/30/2022;5922.86
06/29/2022;6031.48
06/28/2022;6086.02
06/27/2022;6047.31
06/24/2022;6073.35
06/23/2022;5883.33
06/22/2022;5916.63
06/21/2022;5964.66
06/20/2022;5920.09
06/17/2022;5882.65
06/16/2022;5886.24
06/15/2022;6030.13
06/14/2022;5949.84
06/13/2022;6022.32
06/10/2022;6187.23
06/09/2022;6358.46
06/08/2022;6448.63
06/07/2022;6500.35
06/06/2022;6548.78
06/03/2022;6485.30
06/02/2022;6500.44
06/01/2022;6418.89
05/31/2022;6468.80
05/30/2022;6562.39
05/27/2022;6515.75
05/26/2022;6410.58
05/25/2022;6298.64
05/24/2022;6253.14
05/23/2022;6358.74
05/20/2022;6285.24
05/19/2022;6272.71
05/18/2022;6352.94
05/17/2022;6430.19
05/16/2022;6347.77
05/13/2022;6362.68
05/12/2022;6206.26
05/11/2022;6269.73
05/10/2022;6116.91
05/09/2022;6086.02
05/06/2022;6258.36
05/05/2022;6368.40
05/04/2022;6395.68
05/03/2022;6476.18
05/02/2022;6425.61
04/29/2022;6533.77
04/28/2022;6508.14
04/27/2022;6445.26
04/26/2022;6414.57
04/25/2022;6449.38
04/22/2022;6581.42
04/21/2022;6715.10
04/20/2022;6624.91
04/19/2022;6534.79
04/14/2022;6589.35
04/13/2022;6542.14
04/12/2022;6537.41
04/11/2022;6555.81
04/08/2022;6548.22
04/07/2022;6461.68
04/06/2022;6498.83
04/05/2022;6645.51
04/04/2022;6731.37
04/01/2022;6684.31
03/31/2022;6659.87
03/30/2022;6741.59
03/29/2022;6792.16
03/28/2022;6589.11
03/25/2022;6553.68
03/24/2022;6555.77
03/23/2022;6581.43
03/22/2022;6659.41
03/21/2022;6582.33
03/18/2022;6620.24
03/17/2022;6612.52
03/16/2022;6588.64
03/15/2022;6355.00
03/14/2022;6369.94
03/11/2022;6260.25
03/10/2022;6207.20
03/09/2022;6387.83
03/08/2022;5962.96
03/07/2022;5982.27
03/04/2022;6061.66
03/03/2022;6378.37
03/02/2022;6498.02
03/01/2022;6396.49
02/28/2022;6658.83
02/25/2022;6752.43
02/24/2022;6521.05
02/23/2022;6780.67
02/22/2022;6787.60
02/21/2022;6788.34
02/18/2022;6929.63
02/17/2022;6946.82
02/16/2022;6964.98
02/15/2022;6979.97
02/14/2022;6852.20
02/11/2022;7011.60
02/10/2022;7101.55
02/09/2022;7130.88
02/08/2022;7028.41
02/07/2022;7009.25
02/04/2022;6951.38
02/03/2022;7005.63
02/02/2022;7115.27
02/01/2022;7099.49
01/31/2022;6999.20
01/28/2022;6965.88
01/27/2022;7023.80
01/26/2022;6981.96
01/25/2022;6837.96
01/24/2022;6787.79
01/21/2022;7068.59
01/20/2022;7194.16
01/19/2022;7172.98
01/18/2022;7133.83
01/17/2022;7201.64
01/14/2022;7143.00
01/13/2022;7201.14
01/12/2022;7237.19
01/11/2022;7183.38
01/10/2022;7115.77
01/07/2022;7219.48
01/06/2022;7249.66
01/05/2022;7376.37
01/04/2022;7317.41
01/03/2022;7217.22
12/31/2021;7153.03
12/30/2021;7173.23
12/29/2021;7161.52
12/28/2021;7181.11
12/27/2021;7140.39
12/24/2021;7086.58
12/23/2021;7106.15
12/22/2021;7051.67
12/21/2021;6964.99
12/20/2021;6870.10
12/17/2021;6926.63
12/16/2021;7005.07
12/15/2021;6927.63
12/14/2021;6895.31
12/13/2021;6942.91
12/10/2021;6991.68
12/09/2021;7008.23
12/08/2021;7014.57
12/07/2021;7065.39
12/06/2021;6865.78
12/03/2021;6765.52
12/02/2021;6795.75
12/01/2021;6881.87
11/30/2021;6721.16
11/29/2021;6776.25
11/26/2021;6739.73
11/25/2021;7075.87
11/24/2021;7042.23
11/23/2021;7044.62
11/22/2021;7105.00
11/19/2021;7112.29
11/18/2021;7141.98
11/17/2021;7156.85
11/16/2021;7152.60
11/15/2021;7128.63
11/12/2021;7091.40
11/11/2021;7059.55
11/10/2021;7045.16
11/09/2021;7043.27
11/08/2021;7047.48
11/05/2021;7040.79
11/04/2021;6987.79
11/03/2021;6950.65
11/02/2021;6927.03
11/01/2021;6893.29
10/29/2021;6830.34
10/28/2021;6804.22
10/27/2021;6753.52
10/26/2021;6766.51
10/25/2021;6712.87
10/22/2021;6733.69
10/21/2021;6686.17
10/20/2021;6705.61
10/19/2021;6669.85
10/18/2021;6673.10
10/15/2021;6727.52
10/14/2021;6685.21
10/13/2021;6597.38
10/12/2021;6548.11
10/11/2021;6570.54
10/08/2021;6559.99
10/07/2021;6600.19
10/06/2021;6493.12
10/05/2021;6576.28
10/04/2021;6477.66
10/01/2021;6517.69
09/30/2021;6520.01
09/29/2021;6560.80
09/28/2021;6506.50
09/27/2021;6650.91
09/24/2021;6638.46
09/23/2021;6701.98
09/22/2021;6637.00
09/21/2021;6552.73
09/20/2021;6455.81
09/17/2021;6570.19
09/16/2021;6622.59
09/15/2021;6583.62
09/14/2021;6652.97
09/13/2021;6676.93
09/10/2021;6663.77
09/09/2021;6684.72
09/08/2021;6668.89
09/07/2021;6726.07
09/06/2021;6743.50
09/03/2021;6689.99
09/02/2021;6763.08
09/01/2021;6758.69
08/31/2021;6680.18
08/30/2021;6687.30
08/27/2021;6681.92
08/26/2021;6666.03
08/25/2021;6676.48
08/24/2021;6664.31
08/23/2021;6683.10
08/20/2021;6626.11
08/19/2021;6605.89
