date;EURIBOR_3M_Rate
01/01/1994;6.91000000000000014
01/02/1994;6.86000000000000032
01/03/1994;6.75000000000000000
01/04/1994;6.57000000000000028
01/05/1994;6.24000000000000021
01/06/1994;6.29999999999999982
01/07/1994;6.33999999999999986
01/08/1994;6.42999999999999972
01/09/1994;6.37999999999999989
01/10/1994;6.42999999999999972
01/11/1994;6.40000000000000036
01/12/1994;6.69000000000000039
01/01/1995;6.66000000000000014
01/02/1995;6.58999999999999986
01/03/1995;7.58000000000000007
01/04/1995;7.29000000000000004
01/05/1995;7.04000000000000004
01/06/1995;7.08000000000000007
01/07/1995;6.91999999999999993
01/08/1995;6.66000000000000014
01/09/1995;6.50000000000000000
01/10/1995;6.75000000000000000
01/11/1995;6.45000000000000018
01/12/1995;6.32000000000000028
01/01/1996;5.80999999999999961
01/02/1996;5.58000000000000007
01/03/1996;5.50000000000000000
01/04/1996;5.26999999999999957
01/05/1996;5.05999999999999961
01/06/1996;5.08000000000000007
01/07/1996;5.05999999999999961
01/08/1996;5.08000000000000007
01/09/1996;4.86000000000000032
01/10/1996;4.69000000000000039
01/11/1996;4.57000000000000028
01/12/1996;4.50000000000000000
01/01/1997;4.38999999999999968
01/02/1997;4.42999999999999972
01/03/1997;4.50000000000000000
01/04/1997;4.38999999999999968
01/05/1997;4.29999999999999982
01/06/1997;4.29000000000000004
01/07/1997;4.29999999999999982
01/08/1997;4.36000000000000032
01/09/1997;4.30999999999999961
01/10/1997;4.44000000000000039
01/11/1997;4.49000000000000021
01/12/1997;4.37000000000000011
01/01/1998;4.25999999999999979
01/02/1998;4.24000000000000021
01/03/1998;4.11000000000000032
01/04/1998;4.08999999999999986
01/05/1998;4.05999999999999961
01/06/1998;4.01999999999999957
01/07/1998;3.95000000000000018
01/08/1998;3.93000000000000016
01/09/1998;3.93000000000000016
01/10/1998;3.81000000000000005
01/11/1998;3.68999999999999995
01/12/1998;3.37000000000000011
01/01/1999;3.13209999999999988
01/02/1999;3.09339999999999993
01/03/1999;3.04669565217391014
01/04/1999;2.69645454545454966
01/05/1999;2.57895238095238000
01/06/1999;2.62668181818182012
01/07/1999;2.67645454545454964
01/08/1999;2.69504545454545008
01/09/1999;2.72668181818182020
01/10/1999;3.37566666666666970
01/11/1999;3.46768181818181986
01/12/1999;3.44604545454545041
01/01/2000;3.34314285714285964
01/02/2000;3.53676190476191055
01/03/2000;3.74704347826087059
01/04/2000;3.92527777777777986
01/05/2000;4.36204545454546011
01/06/2000;4.50172727272727080
01/07/2000;4.58290476190475982
01/08/2000;4.77708695652173976
01/09/2000;4.85280952380951902
01/10/2000;5.04127272727272935
01/11/2000;5.09195454545454051
01/12/2000;4.93915789473683997
01/01/2001;4.77072727272726915
01/02/2001;4.75579999999999981
01/03/2001;4.70863636363636040
01/04/2001;4.68199999999999950
01/05/2001;4.63668181818182035
01/06/2001;4.45357142857143007
01/07/2001;4.46713636363636013
